----------タイトル----------,----------Switch----------,----------PS4----------,----------PS5----------,----------STEAM----------,
UNDERTALE,https://store-jp.nintendo.com/list/software/70010000009922.html,https://store.playstation.com/ja-jp/product/JP0215-CUSA09239_00-TFSHVCUTPS4JP084,,https://store.steampowered.com/app/391540/Undertale/?l=japan&cc=jp,
Among Us,https://store-jp.nintendo.com/list/software/70010000036097.html,https://store.playstation.com/ja-jp/product/JP6997-PPSA03642_00-AMONGUS5SIEJ0001,https://store.playstation.com/ja-jp/product/JP6997-PPSA03642_00-AMONGUS5SIEJ0001,https://store.steampowered.com/app/945360/Among_Us/?l=japan&cc=jp,
